"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"Avery Hill","Laconia Area Community Land Trust Inc. Avery Hill",Roof,2018,"-71.47037216303175,43.529308855577334","667 Main St",Laconia,"New Hampshire",03246,Operational,"Eversource, New Hampshire Electric Cooperative (NHEC)","Lakes Region Community Developers",48,"Less than 500 KW",100,48,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.19,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Low = less than 10% of value stack",Yes,"High = greater than 50%",71,No,12
"Belvedere Solar","Common Energy",Ground,2022,"-122.805253,45.054466","9526-9530 Mt Angel Highway NE","Mt. Angel",Oregon,97362,Planned,"Portland Gas and Electric (PGE)","Solar Town",2970,"More than 2 MW",10,297,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,119
"BEMS Community Solar  West","New Jersey Community Solar Pilot Program Phase 2",Ground,2022,"-74.69797262296365,39.89348913972975","Big Hill Rd. and Old Forge Rd.",Southampton,"New Jersey",08088,Planned,"Public Service Electric and Gas (PSE&G)","BEMS Community Solar  West LLC",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"BEMS Community Solar East","New Jersey Community Solar Pilot Program Phase 2",Ground,2022,"-74.69491774726185,39.892138452248176","Big Hill Rd. and Old Forge Rd.",Southampton,"New Jersey",08088,Planned,"Jersey Central Power and Light (JCP&L)","BEMS Community Solar East LLC",3846,"More than 2 MW",51,1962,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,785
"Berlin Hilltop Solar","Middlebury CSA",Ground,2012,"-72.973392,43.609803","25 N Main St",Rutland,Vermont,05701,Operational,"Green Mountain Power (GMP)","Green Mountain Power, SunCommon (EPC)",100,"Less than 500 KW",100,100,Carve-out,"Investor-owned utility (IOU)",Regulated,0.2,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Low = less than 10% of value stack",Yes,"Low = less than 20%",7,No,40
"Big Sun Community Solar","Big Sun Community Solar Program",Canopy,2019,"-98.493574,29.426348","110 E Houston St","San Antonio",Texas,78205,Operational,"CPS Energy",cps-energy-w-big-sun-solar,5000,"More than 2 MW",10,500,Carve-out,"Municipally-owned utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Moderate = 20% to 50%",20,No,40
"BlueWave MA, LLC",SMART,Ground,2022,"-72.32207350567336,42.203039244022996","189 State St",Palmer,Massachusetts,01069,Planned,"National Grid (Massachusetts Electric)",,4980,"More than 2 MW",51,2540,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,1016
"Borrego Solar Systems, Inc",SMART,Ground,2022,"-72.4364157257688,42.045475085991946","186-196 Somers Rd",Hampden,Massachusetts,01036,Planned,"National Grid (Massachusetts Electric)",,3881,"More than 2 MW",51,1979,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,792
"Breck Solar 1, LLC","Solar Rewards Community CO",Ground,2013,"-104.897487,39.719822","7581 E Academy Blvd.",Denver,Colorado,80230,Operational,"Public Service Company of Colorado (PSCo)","Clean Energy Collective (CEC)",308,"Less than 500 KW",5,16,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,6
"Brightcore - 101 Commerce Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98649783351628,39.96958322861454","101 Commerce Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",395,"Less than 500 KW",51,202,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,81
"Brightcore - 102 Commerce Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98467969633016,39.968223184477594","102 Commerce Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",230,"Less than 500 KW",51,117,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,47
"Brightcore - 1256 N Church Street","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.9876368469293,39.97715618135987","1256 N Church Street",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",455,"Less than 500 KW",51,232,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,93
"Brightcore - 1400 Imperial Way Sun Garden","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-75.20001806656019,39.83268403846165","1400 Imperial Way","West Deptford","New Jersey",08066,Planned,"Public Service Electric and Gas (PSE&G)","Altus Power America Inc.",918,"500 KW to 1,999 KW",51,468,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,187
"Brightcore - 1507 Lancer Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.99107052620347,39.97432565738995","1507 Lancer Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",294,"Less than 500 KW",51,150,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,60
"Brightcore - 2 Commerce Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98589849462736,39.967343375380906","2 Commerce Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",245,"Less than 500 KW",51,125,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,50
"Brightcore - 2 Executive Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98891479401799,39.96932551429659","2 Executive Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",324,"Less than 500 KW",51,165,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,66
"Brightcore - 2 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97564928172422,39.975786379424","2 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",323,"Less than 500 KW",51,165,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,66
"Brightcore - 201 Commerce Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98520560507119,39.970079892159674","201 Commerce Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",220,"Less than 500 KW",51,112,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,45
"Brightcore - 202 Commerce Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98386087202353,39.96895359445718","202 Commerce Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",338,"Less than 500 KW",51,172,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,69
"Brightcore - 225 Executive Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.98699470125675,39.97367762546301","225 Executive Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",316,"Less than 500 KW",51,161,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,64
"Brightcore - 30 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97786857904647,39.977406272882206","30 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",287,"Less than 500 KW",51,146,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,59
"Brightcore - 31 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97865838572163,39.97876495810358","31 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",663,"500 KW to 1,999 KW",51,338,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,135
"Brightcore - 40 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97841555186464,39.97652630838898","40 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",280,"Less than 500 KW",51,143,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,57
"Brightcore - 41 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97945009721936,39.97771793951126","41 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",285,"Less than 500 KW",51,145,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,58
"Brightcore - 50 Twosome Drive","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.97907112122094,39.97558745562803","50 Twosome Drive",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",213,"Less than 500 KW",51,109,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,43
"Brightcore - 915 N Lenola Road","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.99421327955696,39.973653396336225","915 N Lenola Road",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",393,"Less than 500 KW",51,200,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,80
"Brightcore - 97 Foster Road","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.99014627777045,39.976742722553325","97 Foster Road",Moorestown,"New Jersey",08057,Planned,"Public Service Electric and Gas (PSE&G)","Brightcore Energy LLC",357,"Less than 500 KW",51,182,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,73
"Bulldog Solar One, LLC","Maryland Community Solar Pilot Program",Ground,2020,"-76.706853002242,38.96120815272987",,Bowie,Maryland,,Operational,"Baltimore Gas and Electric (BGE)","Nautilus Solar",2000,"More than 2 MW",51,1020,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,408
"Burlingame Solar","Burlingame Community Solar",Ground,2021,"-123.012548,44.387755","27300 Fisher Rd",Brownsville,Oregon,97327,Planned,"Pacific Power","Sulus Solar",2125,"More than 2 MW",10,213,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,85
"Burns Solar One, LLC","BGE Community Solar Pilot Program",Ground,2020,"-76.85218176614195,39.475840668570484","715 Westminster pike",Reisterstown,Maryland,21136,Operational,"Baltimore Gas and Electric (BGE)","Burns Solar One, LLC",1980,"500 KW to 1,999 KW",30,594,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,238
"BWC Artichoke Reservoir, LLC",SMART,Ground,2022,"-70.90339486653673,42.81355492991103",,Newburyport,Massachusetts,,Planned,"National Grid (Massachusetts Electric)",,1650,"500 KW to 1,999 KW",51,842,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,337
"CA_IID-Citizens Low-Income Community Solar Project","eGreen Community Solar Program",Ground,2019,"-115.447218,33.163894","E. Peterson Road",Calipatria,California,92233,Operational,"Imperial Irrigation District","Citizens Energy Corporation",23080,"More than 2 MW",30.00,6924.00,"Income eligible only","Municipally-owned utility",Deregulated,0.20,"High = more than $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",5.00,No,9232
"Can Solar 1, LLC","Solar Rewards Community CO",Ground,2013,"-104.770638,39.727242","790 Tower Road ",Aurora,Colorado,80012,Operational,"Public Service Company of Colorado (PSCo)","Clean Energy Collective (CEC)",382,"Less than 500 KW",5,19,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"CAP Solar","Greater Bergen CAA Community Solar",Ground,2015,"-74.03824105524532,40.87166484125523","202 S River St",Hackensack,"New Jersey",07601,Operational,"Public Service Electric and Gas (PSE&G)",CAPSolar,2500,"More than 2 MW",100,2500,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,No,1000
"Capital Area Food Bank","DC Solar for All",Roof,2021,"-76.9996250891231,38.94801477576833","4900 Puerto Rico Ave NE",Washington,"District of Columbia",20017,Operational,"Potomac Electric Power Company (Pepco) DC","Greenscape Environmental Services",100,"Less than 500 KW",100,100,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,40
"Carnes Creek Solar","Oregon Shines",Ground,2021,"-122.928446,45.076668","10825 Portland Rd NE","Marion County",Oregon,97305,Planned,"Portland Gas and Electric (PGE)","Conifer Community Energy 4, LLC",2500,"More than 2 MW",10,250,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,100
